Site,NASCAR,AccuPredict
Atlanta,Intermediate,Large
Bristol,Short,Steep
Charlotte,Intermediate,Large
Chicago,Intermediate,Large
Darlington,Intermediate,Steep
Daytona,Superspeedway,Restrictor Plate
Dover,Short,Steep
Fontana,Superspeedway,Large
Fort Worth,Intermediate,Large
Homestead,Intermediate,Steep
Indianapolis,Superspeedway,Flat
Kansas,Intermediate,Large
Kentucky,Intermediate,Large
Las Vegas,Intermediate,Steep
Loudon,Intermediate,Flat
Martinsville,Short,Flat
Michigan,Superspeedway,Large
Phoenix,Short,Flat
Pocono,Superspeedway,Flat
Richmond,Short,Flat
Sonoma,Road,Road
Talladega,Superspeedway,Restrictor Plate
Watkins Glen,Road,Road
